player,passing_att,passing_cmp,passing_yds,passing_tds,passing_ints,rushing_att,rushing_yds,rushing_tds,misc_fl,misc_fpts,team,pos,receiving_rec,receiving_yds,receiving_tds
Josh Allen,491.6,333.0,3811.4,27.4,11.2,118.1,585.5,11.8,4.1,372.1,BUF,QB,,,
Drake Maye,503.9,346.0,4063.4,28.3,10.4,100.3,505.2,3.7,5.6,326.9,NE,QB,,,
Lamar Jackson,449.3,291.9,3654.7,28.3,9.6,118.7,639.9,3.2,4.2,324.9,BAL,QB,,,
Jayden Daniels,495.4,323.5,3697.0,24.1,11.0,130.0,685.3,4.7,2.8,324.5,WAS,QB,,,
Jalen Hurts,488.0,316.9,3571.2,24.2,7.4,111.8,461.4,8.4,4.0,320.6,PHI,QB,,,
Jaxson Dart,509.9,324.8,3592.9,22.6,11.1,100.9,549.4,6.5,2.9,311.7,NYG,QB,,,
Joe Burrow,589.7,394.5,4168.5,33.3,11.6,48.3,179.1,1.4,1.9,310.7,CIN,QB,,,
Brock Purdy,547.2,369.3,4152.9,27.7,14.3,70.5,304.1,3.8,4.3,307.3,SF,QB,,,
Dak Prescott,582.3,384.7,4295.8,30.9,11.3,49.1,173.3,1.7,2.8,306.2,DAL,QB,,,
Trevor Lawrence,545.5,335.4,3893.3,26.6,13.0,72.5,321.1,4.9,3.4,304.0,JAC,QB,,,
Jahmyr Gibbs,,,,,,274.4,1381.0,13.8,1.1,372.6,DET,RB,70.9,580.3,4.1
Bijan Robinson,,,,,,289.6,1427.0,9.5,1.8,370.0,ATL,RB,79.6,736.4,3.5
Christian McCaffrey,,,,,,269.4,1093.3,8.7,1.1,334.8,SF,RB,78.4,693.8,4.6
Jonathan Taylor,,,,,,327.4,1509.4,12.9,1.7,312.4,IND,RB,45.1,338.2,1.5
De'Von Achane,,,,,,237.9,1197.5,6.0,1.0,292.0,MIA,RB,65.3,490.6,4.0
Chase Brown,,,,,,239.4,1040.1,7.5,1.1,277.7,CIN,RB,64.4,429.9,3.9
Ashton Jeanty,,,,,,281.4,1107.2,8.0,1.1,276.8,LV,RB,58.7,414.2,3.3
Derrick Henry,,,,,,314.0,1569.0,13.4,1.7,273.1,BAL,RB,17.8,172.2,0.7
James Cook III,,,,,,287.3,1403.5,10.3,2.4,270.2,BUF,RB,33.3,281.4,1.9
Saquon Barkley,,,,,,295.9,1311.3,8.2,1.0,265.9,PHI,RB,41.7,330.4,2.1
Puka Nacua,,,,,,13.6,85.0,1.4,1.0,339.8,LAR,WR,117.0,1539.0,9.0
Ja'Marr Chase,,,,,,3.0,17.0,0.0,1.0,335.5,CIN,WR,121.2,1509.7,10.6
Jaxon Smith-Njigba,,,,,,5.5,30.4,0.1,1.1,324.1,SEA,WR,110.9,1568.4,9.2
Amon-Ra St. Brown,,,,,,3.1,11.8,0.0,0.4,319.5,DET,WR,117.0,1390.5,10.5
Drake London,,,,,,0.0,0.0,0.0,1.0,287.1,ATL,WR,101.7,1328.2,9.1
Rashee Rice,,,,,,5.4,25.5,0.9,0.6,273.3,KC,WR,98.8,1099.0,9.7
CeeDee Lamb,,,,,,2.4,12.5,0.0,0.3,273.3,DAL,WR,97.6,1297.0,7.5
Justin Jefferson,,,,,,1.3,5.5,0.0,0.3,269.6,MIN,WR,98.6,1302.2,6.8
A.J. Brown,,,,,,0.0,0.0,0.0,0.3,257.4,NE,WR,88.7,1234.4,7.6
Chris Olave,,,,,,0.3,0.0,0.0,0.3,257.3,NO,WR,94.2,1169.2,7.8
Trey McBride,,,,,,,,,0.2,254.3,ARI,TE,109.0,1050.6,6.8
Brock Bowers,,,,,,,,,0.2,243.7,LV,TE,96.5,1025.0,7.5
Colston Loveland,,,,,,,,,0.2,209.3,CHI,TE,78.1,916.0,6.7
Tyler Warren,,,,,,,,,0.3,201.8,IND,TE,82.7,870.9,5.4
Kyle Pitts Sr.,,,,,,,,,0.1,195.6,ATL,TE,79.5,881.0,4.7
Harold Fannin Jr.,,,,,,,,,0.8,190.3,CLE,TE,78.3,812.4,5.4
Sam LaPorta,,,,,,,,,0.2,183.1,DET,TE,69.8,809.4,5.5
Travis Kelce,,,,,,,,,0.3,181.8,KC,TE,74.9,784.2,4.8
Dallas Goedert,,,,,,,,,0.2,179.3,PHI,TE,65.5,688.8,7.6
Tucker Kraft,,,,,,,,,0.2,174.9,GB,TE,59.9,770.1,6.4
